transaction_id,transaction_date,type,counterparty,description,amount,balance_after,linked_invoice_id
BT-000001,2024-01-18,inflow,KÜ Tamme 12,Müügiarve SI-202401-0001 laekumine,2858.4,37858.4,SI-202401-0001
BT-000002,2024-01-26,inflow,KÜ Pargi 8,Müügiarve SI-202401-0002 laekumine,1955.8,39814.2,SI-202401-0002
BT-000003,2024-02-20,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202401-0003 laekumine,3343.67,43157.87,SI-202401-0003
BT-000004,2024-01-17,inflow,KÜ Metsa 5,Müügiarve SI-202401-0004 laekumine,2321.52,45479.39,SI-202401-0004
BT-000005,2024-01-25,outflow,Remondipartner OÜ,Ostuarve PI-202401-0001 tasumine,-2396.55,43082.84,PI-202401-0001
BT-000006,2024-01-24,outflow,Puhastuspartner OÜ,Ostuarve PI-202401-0002 tasumine,-1773.62,41309.22,PI-202401-0002
BT-000007,2024-02-02,outflow,Tarkvara OÜ,Ostuarve PI-202401-0003 tasumine,-639.32,40669.9,PI-202401-0003
BT-000008,2024-02-04,outflow,Kontorikulud OÜ,Ostuarve PI-202401-0004 tasumine,-853.99,39815.91,PI-202401-0004
BT-000009,2024-01-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-01,-15680.0,24135.91,
BT-000010,2024-02-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-01,-932.11,23203.8,
BT-000011,2024-02-17,inflow,KÜ Tamme 12,Müügiarve SI-202402-0005 laekumine,4483.44,27687.24,SI-202402-0005
BT-000012,2024-02-23,inflow,KÜ Pargi 8,Müügiarve SI-202402-0006 laekumine,1793.98,29481.22,SI-202402-0006
BT-000013,2024-03-19,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202402-0007 laekumine,3612.81,33094.03,SI-202402-0007
BT-000014,2024-02-15,inflow,KÜ Metsa 5,Müügiarve SI-202402-0008 laekumine,1291.05,34385.08,SI-202402-0008
BT-000015,2024-02-25,outflow,Remondipartner OÜ,Ostuarve PI-202402-0005 tasumine,-1973.56,32411.52,PI-202402-0005
BT-000016,2024-02-26,outflow,Puhastuspartner OÜ,Ostuarve PI-202402-0006 tasumine,-2104.17,30307.35,PI-202402-0006
BT-000017,2024-03-09,outflow,Tarkvara OÜ,Ostuarve PI-202402-0007 tasumine,-560.57,29746.78,PI-202402-0007
BT-000018,2024-03-05,outflow,Kontorikulud OÜ,Ostuarve PI-202402-0008 tasumine,-287.78,29459.0,PI-202402-0008
BT-000019,2024-02-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-02,-15680.0,13779.0,
BT-000020,2024-03-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-02,-1210.67,12568.33,
BT-000021,2024-03-19,inflow,KÜ Tamme 12,Müügiarve SI-202403-0009 laekumine,1464.46,14032.79,SI-202403-0009
BT-000022,2024-03-23,inflow,KÜ Pargi 8,Müügiarve SI-202403-0010 laekumine,1795.19,15827.98,SI-202403-0010
BT-000023,2024-04-16,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202403-0011 laekumine,3629.47,19457.45,SI-202403-0011
BT-000024,2024-03-18,inflow,KÜ Metsa 5,Müügiarve SI-202403-0012 laekumine,1166.27,20623.72,SI-202403-0012
BT-000025,2024-03-18,outflow,Remondipartner OÜ,Ostuarve PI-202403-0009 tasumine,-3031.37,17592.35,PI-202403-0009
BT-000026,2024-03-19,outflow,Puhastuspartner OÜ,Ostuarve PI-202403-0010 tasumine,-1712.11,15880.24,PI-202403-0010
BT-000027,2024-04-05,outflow,Tarkvara OÜ,Ostuarve PI-202403-0011 tasumine,-380.92,15499.32,PI-202403-0011
BT-000028,2024-04-08,outflow,Kontorikulud OÜ,Ostuarve PI-202403-0012 tasumine,-482.31,15017.01,PI-202403-0012
BT-000029,2024-03-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-03,-15680.0,-662.99,
BT-000030,2024-04-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-03,-473.93,-1136.92,
BT-000031,2024-04-18,inflow,KÜ Tamme 12,Müügiarve SI-202404-0013 laekumine,1620.15,483.23,SI-202404-0013
BT-000032,2024-04-24,inflow,KÜ Pargi 8,Müügiarve SI-202404-0014 laekumine,4639.44,5122.67,SI-202404-0014
BT-000033,2024-05-25,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202404-0015 laekumine,3717.67,8840.34,SI-202404-0015
BT-000034,2024-04-19,inflow,KÜ Metsa 5,Müügiarve SI-202404-0016 laekumine,1219.32,10059.66,SI-202404-0016
BT-000035,2024-04-20,outflow,Remondipartner OÜ,Ostuarve PI-202404-0013 tasumine,-3186.4,6873.26,PI-202404-0013
BT-000036,2024-04-23,outflow,Puhastuspartner OÜ,Ostuarve PI-202404-0014 tasumine,-2103.3,4769.96,PI-202404-0014
BT-000037,2024-05-10,outflow,Tarkvara OÜ,Ostuarve PI-202404-0015 tasumine,-372.01,4397.95,PI-202404-0015
BT-000038,2024-05-05,outflow,Kontorikulud OÜ,Ostuarve PI-202404-0016 tasumine,-462.07,3935.88,PI-202404-0016
BT-000039,2024-04-05,outflow,Töötajad ja Maksu- ja Tolliamet,Palk ja tööjõumaksud 2024-04,-15680.0,-11744.12,
BT-000040,2024-05-20,outflow,Maksu- ja Tolliamet,Käibemaks 2024-04,-981.85,-12725.97,
BT-000041,2024-05-15,inflow,KÜ Tamme 12,Müügiarve SI-202405-0017 laekumine,1538.9,-11187.07,SI-202405-0017
BT-000042,2024-05-18,inflow,KÜ Pargi 8,Müügiarve SI-202405-0018 laekumine,4972.34,-6214.73,SI-202405-0018
BT-000043,2024-06-21,inflow,Ärimaja Keskus OÜ,Müügiarve SI-202405-0019 laekumine,4300.61,-1914.12,SI-202405-0019
BT-000044,2024-05-19,inflow,KÜ Metsa 5,Müügiarve SI-202405-0020 laekumine,1259.06,-655.06,SI-202405-0020
BT-000045,2024-05-18,outflow,Remondipartner OÜ,Ostuarve PI-202405-0017 tasumine,-2280.2,-2935.26,PI-202405-0017
BT-000046,2024-05-26,outflow,Puhastuspartner OÜ,Ostuarve PI-202405-0018 tasumine,-2227.67,-5162.93,PI-202405-0018
BT-000047,2024-06-10,outflow,Tarkvara OÜ,Ostuarve PI-202405-0019 tasumine,-419.11,-5582.04,PI-202405-0019
