period,payment_date,gross_salary,net_salary,payroll_taxes,total_cash_out,must_pay_on_time,status
2024-01,2024-01-05,14000,10920.0,4760.0,15680.0,True,paid
2024-02,2024-02-05,14000,10920.0,4760.0,15680.0,True,paid
2024-03,2024-03-05,14000,10920.0,4760.0,15680.0,True,paid
2024-04,2024-04-05,14000,10920.0,4760.0,15680.0,True,paid
2024-05,2024-05-05,14000,10920.0,4760.0,15680.0,True,paid
2024-06,2024-06-05,14000,10920.0,4760.0,15680.0,True,paid
2024-07,2024-07-05,14000,10920.0,4760.0,15680.0,True,paid
2024-08,2024-08-05,14000,10920.0,4760.0,15680.0,True,paid
2024-09,2024-09-05,14000,10920.0,4760.0,15680.0,True,paid
2024-10,2024-10-05,14000,10920.0,4760.0,15680.0,True,paid
2024-11,2024-11-05,14000,10920.0,4760.0,15680.0,True,paid
2024-12,2024-12-05,14000,10920.0,4760.0,15680.0,True,paid
