invoice_id,supplier_id,invoice_date,due_date,category,net_amount,vat_amount,gross_amount,status,must_pay_on_time
PI-202401-0001,S001,2024-01-11,2024-01-25,repair,1932.7,463.85,2396.55,paid,True
PI-202401-0002,S002,2024-01-10,2024-01-24,cleaning,1430.34,343.28,1773.62,paid,True
PI-202401-0003,S003,2024-01-03,2024-02-02,software,515.58,123.74,639.32,paid,False
PI-202401-0004,S004,2024-01-05,2024-02-04,office,688.7,165.29,853.99,paid,False
PI-202402-0005,S001,2024-02-11,2024-02-25,repair,1591.58,381.98,1973.56,paid,True
PI-202402-0006,S002,2024-02-12,2024-02-26,cleaning,1696.91,407.26,2104.17,paid,True
PI-202402-0007,S003,2024-02-08,2024-03-09,software,452.07,108.5,560.57,paid,False
PI-202402-0008,S004,2024-02-04,2024-03-05,office,232.08,55.7,287.78,paid,False
PI-202403-0009,S001,2024-03-04,2024-03-18,repair,2444.65,586.72,3031.37,paid,True
PI-202403-0010,S002,2024-03-05,2024-03-19,cleaning,1380.73,331.38,1712.11,paid,True
PI-202403-0011,S003,2024-03-06,2024-04-05,software,307.19,73.73,380.92,paid,False
PI-202403-0012,S004,2024-03-09,2024-04-08,office,388.96,93.35,482.31,paid,False
PI-202404-0013,S001,2024-04-06,2024-04-20,repair,2569.68,616.72,3186.4,paid,True
PI-202404-0014,S002,2024-04-09,2024-04-23,cleaning,1696.21,407.09,2103.3,paid,True
PI-202404-0015,S003,2024-04-10,2024-05-10,software,300.01,72.0,372.01,paid,False
PI-202404-0016,S004,2024-04-05,2024-05-05,office,372.64,89.43,462.07,paid,False
PI-202405-0017,S001,2024-05-04,2024-05-18,repair,1838.87,441.33,2280.2,paid,True
PI-202405-0018,S002,2024-05-12,2024-05-26,cleaning,1796.51,431.16,2227.67,paid,True
PI-202405-0019,S003,2024-05-11,2024-06-10,software,337.99,81.12,419.11,paid,False
PI-202405-0020,S004,2024-05-11,2024-06-10,office,802.55,192.61,995.16,paid,False
PI-202406-0021,S001,2024-06-11,2024-06-25,repair,2857.3,685.75,3543.05,paid,True
PI-202406-0022,S002,2024-06-11,2024-06-25,cleaning,1721.37,413.13,2134.5,paid,True
PI-202406-0023,S003,2024-06-07,2024-07-07,software,544.58,130.7,675.28,paid,False
PI-202406-0024,S004,2024-06-11,2024-07-11,office,626.28,150.31,776.59,paid,False
PI-202407-0025,S001,2024-07-04,2024-07-18,repair,1031.26,247.5,1278.76,paid,True
PI-202407-0026,S002,2024-07-10,2024-07-24,cleaning,1634.42,392.26,2026.68,paid,True
PI-202407-0027,S003,2024-07-11,2024-08-10,software,518.04,124.33,642.37,paid,False
PI-202407-0028,S004,2024-07-05,2024-08-04,office,661.83,158.84,820.67,paid,False
PI-202408-0029,S001,2024-08-10,2024-08-24,repair,1126.71,270.41,1397.12,paid,True
PI-202408-0030,S002,2024-08-06,2024-08-20,cleaning,957.62,229.83,1187.45,paid,True
PI-202408-0031,S003,2024-08-03,2024-09-02,software,455.91,109.42,565.33,paid,False
PI-202408-0032,S004,2024-08-06,2024-09-05,office,611.91,146.86,758.77,paid,False
PI-202409-0033,S001,2024-09-12,2024-09-26,repair,2076.21,498.29,2574.5,paid,True
PI-202409-0034,S002,2024-09-10,2024-09-24,cleaning,1626.75,390.42,2017.17,paid,True
PI-202409-0035,S003,2024-09-06,2024-10-06,software,283.01,67.92,350.93,paid,False
PI-202409-0036,S004,2024-09-09,2024-10-09,office,448.01,107.52,555.53,paid,False
PI-202410-0037,S001,2024-10-04,2024-10-18,repair,1996.45,479.15,2475.6,paid,True
PI-202410-0038,S002,2024-10-11,2024-10-25,cleaning,988.12,237.15,1225.27,paid,True
PI-202410-0039,S003,2024-10-11,2024-11-10,software,542.61,130.23,672.84,paid,False
PI-202410-0040,S004,2024-10-04,2024-11-03,office,848.46,203.63,1052.09,paid,False
PI-202411-0041,S001,2024-11-11,2024-11-25,repair,2587.05,620.89,3207.94,paid,True
PI-202411-0042,S002,2024-11-10,2024-11-24,cleaning,1039.32,249.44,1288.76,paid,True
PI-202411-0043,S003,2024-11-07,2024-12-07,software,326.2,78.29,404.49,paid,False
PI-202411-0044,S004,2024-11-03,2024-12-03,office,605.43,145.3,750.73,paid,False
PI-202412-0045,S001,2024-12-06,2024-12-20,repair,1890.19,453.65,2343.84,paid,True
PI-202412-0046,S002,2024-12-12,2024-12-26,cleaning,1121.59,269.18,1390.77,paid,True
PI-202412-0047,S003,2024-12-12,2025-01-11,software,263.91,63.34,327.25,paid,False
PI-202412-0048,S004,2024-12-04,2025-01-03,office,493.46,118.43,611.89,paid,False
