payment_id,invoice_id,payment_date,amount
PP-202401-0001,PI-202401-0001,2024-01-25,2396.55
PP-202401-0002,PI-202401-0002,2024-01-24,1773.62
PP-202401-0003,PI-202401-0003,2024-02-02,639.32
PP-202401-0004,PI-202401-0004,2024-02-04,853.99
PP-202402-0005,PI-202402-0005,2024-02-25,1973.56
PP-202402-0006,PI-202402-0006,2024-02-26,2104.17
PP-202402-0007,PI-202402-0007,2024-03-09,560.57
PP-202402-0008,PI-202402-0008,2024-03-05,287.78
PP-202403-0009,PI-202403-0009,2024-03-18,3031.37
PP-202403-0010,PI-202403-0010,2024-03-19,1712.11
PP-202403-0011,PI-202403-0011,2024-04-05,380.92
PP-202403-0012,PI-202403-0012,2024-04-08,482.31
PP-202404-0013,PI-202404-0013,2024-04-20,3186.4
PP-202404-0014,PI-202404-0014,2024-04-23,2103.3
PP-202404-0015,PI-202404-0015,2024-05-10,372.01
PP-202404-0016,PI-202404-0016,2024-05-05,462.07
PP-202405-0017,PI-202405-0017,2024-05-18,2280.2
PP-202405-0018,PI-202405-0018,2024-05-26,2227.67
PP-202405-0019,PI-202405-0019,2024-06-10,419.11
PP-202405-0020,PI-202405-0020,2024-06-10,995.16
PP-202406-0021,PI-202406-0021,2024-06-25,3543.05
PP-202406-0022,PI-202406-0022,2024-06-25,2134.5
PP-202406-0023,PI-202406-0023,2024-07-07,675.28
PP-202406-0024,PI-202406-0024,2024-07-11,776.59
PP-202407-0025,PI-202407-0025,2024-07-18,1278.76
PP-202407-0026,PI-202407-0026,2024-07-24,2026.68
PP-202407-0027,PI-202407-0027,2024-08-10,642.37
PP-202407-0028,PI-202407-0028,2024-08-04,820.67
PP-202408-0029,PI-202408-0029,2024-08-24,1397.12
PP-202408-0030,PI-202408-0030,2024-08-20,1187.45
PP-202408-0031,PI-202408-0031,2024-09-02,565.33
PP-202408-0032,PI-202408-0032,2024-09-05,758.77
PP-202409-0033,PI-202409-0033,2024-09-26,2574.5
PP-202409-0034,PI-202409-0034,2024-09-24,2017.17
PP-202409-0035,PI-202409-0035,2024-10-06,350.93
PP-202409-0036,PI-202409-0036,2024-10-09,555.53
PP-202410-0037,PI-202410-0037,2024-10-18,2475.6
PP-202410-0038,PI-202410-0038,2024-10-25,1225.27
PP-202410-0039,PI-202410-0039,2024-11-10,672.84
PP-202410-0040,PI-202410-0040,2024-11-03,1052.09
PP-202411-0041,PI-202411-0041,2024-11-25,3207.94
PP-202411-0042,PI-202411-0042,2024-11-24,1288.76
PP-202411-0043,PI-202411-0043,2024-12-07,404.49
PP-202411-0044,PI-202411-0044,2024-12-03,750.73
PP-202412-0045,PI-202412-0045,2024-12-20,2343.84
PP-202412-0046,PI-202412-0046,2024-12-26,1390.77
PP-202412-0047,PI-202412-0047,2025-01-11,327.25
PP-202412-0048,PI-202412-0048,2025-01-03,611.89
