payment_id,invoice_id,payment_date,amount
SP-202401-0001,SI-202401-0001,2024-01-18,2858.4
SP-202401-0002,SI-202401-0002,2024-01-26,1955.8
SP-202401-0003,SI-202401-0003,2024-02-20,3343.67
SP-202401-0004,SI-202401-0004,2024-01-17,2321.52
SP-202402-0005,SI-202402-0005,2024-02-17,4483.44
SP-202402-0006,SI-202402-0006,2024-02-23,1793.98
SP-202402-0007,SI-202402-0007,2024-03-19,3612.81
SP-202402-0008,SI-202402-0008,2024-02-15,1291.05
SP-202403-0009,SI-202403-0009,2024-03-19,1464.46
SP-202403-0010,SI-202403-0010,2024-03-23,1795.19
SP-202403-0011,SI-202403-0011,2024-04-16,3629.47
SP-202403-0012,SI-202403-0012,2024-03-18,1166.27
SP-202404-0013,SI-202404-0013,2024-04-18,1620.15
SP-202404-0014,SI-202404-0014,2024-04-24,4639.44
SP-202404-0015,SI-202404-0015,2024-05-25,3717.67
SP-202404-0016,SI-202404-0016,2024-04-19,1219.32
SP-202405-0017,SI-202405-0017,2024-05-15,1538.9
SP-202405-0018,SI-202405-0018,2024-05-18,4972.34
SP-202405-0019,SI-202405-0019,2024-06-21,4300.61
SP-202405-0020,SI-202405-0020,2024-05-19,1259.06
SP-202406-0021,SI-202406-0021,2024-06-16,1416.17
SP-202406-0022,SI-202406-0022,2024-06-18,1841.45
SP-202406-0023,SI-202406-0023,2024-07-11,3356.49
SP-202406-0024,SI-202406-0024,2024-06-19,1273.86
SP-202407-0025,SI-202407-0025,2024-07-15,1447.71
SP-202407-0026,SI-202407-0026,2024-07-20,3338.87
SP-202407-0027,SI-202407-0027,2024-08-22,3308.54
SP-202407-0028,SI-202407-0028,2024-07-15,3970.9
SP-202408-0029,SI-202408-0029,2024-08-15,3553.57
SP-202408-0030,SI-202408-0030,2024-08-17,2026.17
SP-202408-0031,SI-202408-0031,2024-09-14,3657.68
SP-202408-0032,SI-202408-0032,2024-08-19,1185.08
SP-202409-0033,SI-202409-0033,2024-09-19,1415.2
SP-202409-0034,SI-202409-0034,2024-09-22,1775.77
SP-202409-0035,SI-202409-0035,2024-10-15,3566.18
SP-202409-0036,SI-202409-0036,2024-09-17,1246.92
SP-202410-0037,SI-202410-0037,2024-10-22,1505.36
SP-202410-0038,SI-202410-0038,2024-10-23,4373.26
SP-202410-0039,SI-202410-0039,2024-11-16,4810.49
SP-202410-0040,SI-202410-0040,2024-10-16,1151.53
SP-202411-0041,SI-202411-0041,2024-11-18,3427.42
SP-202411-0042,SI-202411-0042,2024-11-24,1783.36
SP-202411-0043,SI-202411-0043,2024-12-19,3811.55
SP-202411-0044,SI-202411-0044,2024-11-15,1193.85
SP-202412-0045,SI-202412-0045,2024-12-21,1534.62
SP-202412-0046,SI-202412-0046,2024-12-23,1907.29
SP-202412-0047,SI-202412-0047,2025-01-19,3380.39
SP-202412-0048,SI-202412-0048,2024-12-17,1224.24
