period,sales_vat,purchase_vat,vat_payable,due_date,status,must_pay_on_time
2024-01,2028.27,1096.16,932.11,2024-02-20,paid,True
2024-02,2164.11,953.44,1210.67,2024-03-20,paid,True
2024-03,1559.11,1085.18,473.93,2024-04-20,paid,True
2024-04,2167.09,1185.24,981.85,2024-05-20,paid,True
2024-05,2336.31,1146.22,1190.09,2024-06-20,paid,True
2024-06,1526.7,1379.89,146.81,2024-07-20,paid,True
2024-07,2335.35,922.93,1412.42,2024-08-20,paid,True
2024-08,2017.26,756.52,1260.74,2024-09-20,paid,True
2024-09,1549.18,1064.15,485.03,2024-10-20,paid,True
2024-10,2291.74,1050.16,1241.58,2024-11-20,paid,True
2024-11,1977.33,1093.92,883.41,2024-12-20,paid,True
2024-12,1557.39,904.6,652.79,2025-01-20,paid,True
